Participant,TrialNumber,Condition,Success,NumberOfTouches,NumberLateralChangesOfDirection,Duration,TimingBetweenLastTouchAndPass,AverageInterpersonalDistance,AverageInterpersonalDistanceAtPassTime
17,6,NoOpponent,True,2,1,1.5,1.5,0,0
17,7,NoOpponent,True,2,1,1.6,1.6,0,0
17,8,NoOpponent,True,3,3,2.4,1.1,0,0
17,9,NoOpponent,True,3,3,2.9,1.7,0,0
18,10,Interaction,False,4,1,2.8,1.0,3.83,3.3
18,11,Interaction,False,4,1,2.8,1.3,3.59,3.38
18,12,Interaction,False,5,5,3.9,0.4,4.19,6.55
18,13,Interaction,True,5,1,3.2,1.2,4.12,3.42
18,14,Interaction,True,6,2,4.1,2.5,3.26,3.65
18,15,Interaction,True,5,2,2.9,0.8,3.81,3.33
18,17,Interaction,False,5,1,2.7,0.7,3.72,3.36
18,18,Interaction,True,6,4,4.4,0.8,3.7,3.22
18,20,Interaction,True,4,1,3.3,1.5,3.87,3.47
18,9,Interaction,False,5,2,3.2,0.8,3.4,2.97
18,10,NoInteraction,True,3,0,1.6,0.7,3.91,3.08
18,11,NoInteraction,True,3,1,1.9,0.7,4.3,2.9
18,12,NoInteraction,True,3,0,2.1,0.8,4.04,2.76
18,3,NoInteraction,True,3,1,1.9,0.9,3.41,2.91
18,4,NoInteraction,True,3,2,2.0,1.1,3.98,2.72
18,5,NoInteraction,True,3,3,2.2,1.2,3.88,2.49
18,6,NoInteraction,True,3,3,1.8,0.6,3.72,2.77
18,7,NoInteraction,True,3,0,2.2,1.0,4.14,2.64
18,8,NoInteraction,True,3,1,2.2,1.0,3.98,2.82
18,9,NoInteraction,True,4,0,2.2,0.8,4.46,2.8
18,10,NoOpponent,True,3,0,1.3,0.8,0,0
18,11,NoOpponent,True,2,0,1.3,1.3,0,0
18,12,NoOpponent,True,3,0,1.7,1.0,0,0
18,2,NoOpponent,True,3,0,1.9,1.1,0,0
18,3,NoOpponent,True,3,2,2.1,1.2,0,0
18,4,NoOpponent,True,3,0,1.6,0.8,0,0
18,5,NoOpponent,True,3,1,1.6,0.9,0,0
18,6,NoOpponent,True,3,1,1.4,0.4,0,0
18,8,NoOpponent,True,2,1,1.5,1.5,0,0
18,9,NoOpponent,True,3,1,2.0,1.1,0,0
18,10,InSitu,False,16,7,16.2,0.6,2.48,1.9
18,11,InSitu,True,3,2,2.2,1.3,4.71,2.74
18,13,InSitu,False,7,8,8.4,0.5,3.06,1.66
18,3,InSitu,True,4,3,3.9,0.6,3.31,1.81
18,4,InSitu,True,10,6,8.7,1.1,2.3,1.51
18,5,InSitu,False,13,11,9.1,0.4,2.49,1.34
18,6,InSitu,True,2,1,0.9,0.9,6.48,5.53
18,7,InSitu,True,7,4,4.0,0.3,1.78,1.28
18,8,InSitu,True,3,2,1.9,0.6,5.21,3.25
18,9,InSitu,True,12,11,11.5,0.9,2.76,1.55
2,21,InSitu,True,3,2,1.8,1.2,4.85,3.19
2,22,InSitu,True,5,6,3.5,0.3,3.01,1.81
2,23,InSitu,True,10,3,6.4,0.7,3.08,1.36
2,24,InSitu,False,3,3,2.6,1.8,4.3,1.83
2,25,InSitu,False,3,2,2.6,1.8,3.87,1.67
2,26,InSitu,False,6,2,3.9,0.7,4.07,2.23
2,27,InSitu,False,5,1,1.7,0.2,4.46,2.18
2,28,InSitu,False,14,5,8.9,0.5,2.86,2.0
2,29,InSitu,True,3,1,1.6,0.9,4.39,2.54
2,30,InSitu,True,4,0,1.8,0.6,4.41,2.59
2,10,Interaction,True,7,2,3.6,0.8,3.49,2.89
2,12,Interaction,False,7,2,4.2,0.5,3.58,3.31
2,13,Interaction,True,5,2,3.4,0.9,3.91,2.96
2,15,Interaction,True,6,3,3.8,0.9,3.77,3.28
2,17,Interaction,False,9,4,6.7,1.1,3.54,2.97
2,18,Interaction,True,5,2,3.0,0.6,3.58,3.22
2,19,Interaction,False,5,2,3.2,0.8,3.9,3.12
2,20,Interaction,False,5,2,2.8,0.6,3.24,2.68
2,8,Interaction,True,5,2,2.6,0.8,3.64,3.22
2,9,Interaction,False,6,1,3.1,0.9,3.21,3.67
2,10,NoInteraction,True,4,2,2.9,0.5,4.39,2.68
2,12,NoInteraction,True,4,2,2.2,0.8,4.3,2.57
2,13,NoInteraction,True,3,0,2.3,0.8,4.46,2.56
2,14,NoInteraction,True,3,1,3.1,1.1,4.39,2.65
2,16,NoInteraction,True,3,2,1.9,1.1,4.23,2.48
2,17,NoInteraction,True,3,2,2.3,0.9,4.48,2.65
2,5,NoInteraction,True,3,1,2.3,1.2,4.17,2.8
2,7,NoInteraction,True,5,1,2.5,0.8,3.99,2.51
2,8,NoInteraction,True,3,0,2.0,0.9,4.68,2.47
2,9,NoInteraction,True,3,2,2.4,0.9,4.61,2.64
2,10,NoOpponent,True,3,0,1.3,1.0,0,0
2,11,NoOpponent,True,2,0,1.0,1.0,0,0
2,2,NoOpponent,True,3,0,1.7,1.0,0,0
2,3,NoOpponent,True,3,1,1.8,1.5,0,0
2,4,NoOpponent,True,4,0,1.8,0.8,0,0
2,5,NoOpponent,True,3,1,1.8,1.3,0,0
2,6,NoOpponent,True,2,1,1.6,1.6,0,0
2,7,NoOpponent,True,2,0,1.1,1.1,0,0
2,8,NoOpponent,True,3,2,1.7,1.3,0,0
2,9,NoOpponent,True,2,1,1.4,1.4,0,0
23,10,InSitu,True,3,2,2.1,1.1,4.79,2.34
23,11,InSitu,True,3,0,1.7,1.0,3.92,2.33
23,3,InSitu,False,3,2,1.9,1.3,4.97,2.95
23,4,InSitu,True,5,1,2.8,0.5,4.63,2.89
23,5,InSitu,False,4,1,2.1,0.5,4.35,2.48
23,6,InSitu,False,2,0,1.6,1.6,4.6,2.89
23,7,InSitu,False,3,2,2.6,1.0,4.57,3.15
23,8,InSitu,True,2,0,1.9,1.9,4.5,2.52
23,9,InSitu,False,5,2,2.8,1.1,4.26,2.32
23,10,Interaction,True,7,4,5.0,0.3,3.21,2.83
23,11,Interaction,True,3,0,1.4,1.1,3.0,1.99
23,12,Interaction,True,5,2,3.8,0.7,3.38,2.84
23,13,Interaction,False,4,1,1.8,0.8,2.61,2.6
23,15,Interaction,False,3,2,1.9,0.6,3.35,2.53
23,16,Interaction,False,4,3,2.8,1.0,3.65,3.03
23,17,Interaction,False,3,2,2.6,1.5,3.74,2.62
23,7,Interaction,True,4,1,2.1,0.8,2.89,2.85
23,8,Interaction,False,4,1,2.4,0.8,3.26,2.6
23,9,Interaction,False,3,1,2.1,0.8,3.59,2.18
23,10,NoInteraction,True,2,0,1.0,1.0,3.44,2.42
23,11,NoInteraction,True,3,1,1.2,0.7,3.37,2.71
23,12,NoInteraction,True,2,0,0.7,0.7,3.23,2.92
23,13,NoInteraction,True,2,0,0.6,0.6,4.35,3.19
23,14,NoInteraction,True,3,0,1.0,0.7,3.74,2.63
23,15,NoInteraction,True,2,0,1.0,1.0,4.25,3.38
23,6,NoInteraction,True,3,1,1.1,0.7,3.39,2.25
23,7,NoInteraction,True,3,1,1.8,0.7,4.05,2.61
23,8,NoInteraction,True,2,0,0.8,0.8,3.32,2.66
23,9,NoInteraction,True,2,0,0.5,0.5,3.6,3.33
23,10,NoOpponent,True,2,0,0.7,0.7,0,0
23,11,NoOpponent,True,2,0,0.5,0.5,0,0
23,12,NoOpponent,True,2,0,0.7,0.7,0,0
23,3,NoOpponent,True,2,0,0.9,0.9,0,0
23,4,NoOpponent,True,2,0,1.0,1.0,0,0
23,5,NoOpponent,True,2,0,0.8,0.8,0,0
23,6,NoOpponent,True,2,0,0.9,0.9,0,0
23,7,NoOpponent,True,2,0,0.8,0.8,0,0
23,8,NoOpponent,True,3,0,1.0,0.6,0,0
23,9,NoOpponent,True,2,0,0.7,0.7,0,0
24,10,Interaction,False,3,2,1.6,0.6,4.38,2.5
24,12,Interaction,True,3,1,1.9,0.6,4.33,2.05
24,13,Interaction,False,3,1,1.7,0.5,4.11,2.37
24,14,Interaction,False,3,1,1.5,0.5,4.45,2.48
24,15,Interaction,False,3,0,1.5,0.6,4.33,2.76
24,16,Interaction,False,3,1,1.4,0.6,3.76,2.5
24,17,Interaction,False,3,2,1.7,0.8,4.27,2.53
24,18,Interaction,False,3,1,1.2,0.6,3.82,2.47
24,19,Interaction,True,3,1,1.7,0.6,4.23,2.36
24,9,Interaction,False,3,2,1.7,0.7,4.64,2.24
24,10,NoInteraction,True,2,0,1.5,1.5,5.22,3.25
24,11,NoInteraction,True,2,0,1.4,1.4,5.33,3.25
24,12,NoInteraction,True,2,0,1.7,1.7,5.32,3.15
24,13,NoInteraction,True,2,0,1.3,1.3,5.18,3.19
24,14,NoInteraction,True,2,0,1.4,1.4,5.32,3.35
24,5,NoInteraction,True,2,0,1.7,1.7,5.29,2.95
24,6,NoInteraction,True,2,0,1.5,1.5,5.24,3.12
24,7,NoInteraction,True,2,0,1.6,1.6,5.04,2.98
24,8,NoInteraction,True,2,0,1.5,1.5,4.87,3.2
24,9,NoInteraction,True,2,0,1.2,1.2,5.17,3.28
24,10,NoOpponent,True,2,1,1.1,1.1,0,0
